# 57 hosts parsed by https://dns.twnic.tw/dns-query

# Sat 07/23/2022 16:59:49.11

20.43.185.14 github.dev
192.0.66.2 github.blog
140.82.114.30 githubapp.com
140.82.113.30 githubapp.com
140.82.112.29 githubapp.com
140.82.113.29 githubapp.com
140.82.112.30 githubapp.com
140.82.114.29 githubapp.com
185.199.108.133 raw.github.com
185.199.111.133 raw.github.com
185.199.110.133 raw.github.com
185.199.109.133 raw.github.com
2606:50c0:8003::154 raw.github.com
2606:50c0:8002::154 raw.github.com
2606:50c0:8000::154 raw.github.com
2606:50c0:8001::154 raw.github.com
20.205.243.166 octocaptcha.com
140.82.112.17 help.github.com
185.199.109.153 githubstatus.com
185.199.110.153 githubstatus.com
185.199.111.153 githubstatus.com
185.199.108.153 githubstatus.com
13.236.8.151 www.githubstatus.com
185.199.110.153 pages.github.com
185.199.108.153 pages.github.com
185.199.109.153 pages.github.com
185.199.111.153 pages.github.com
2606:50c0:8002::153 pages.github.com
2606:50c0:8003::153 pages.github.com
2606:50c0:8001::153 pages.github.com
2606:50c0:8000::153 pages.github.com
140.82.112.17 status.github.com
13.230.196.70 uploads.github.com
52.193.111.178 nodeload.github.com
185.199.111.153 training.github.com
185.199.108.153 training.github.com
185.199.109.153 training.github.com
185.199.110.153 training.github.com
2606:50c0:8003::153 training.github.com
2606:50c0:8000::153 training.github.com
2606:50c0:8001::153 training.github.com
2606:50c0:8002::153 training.github.com
185.199.109.133 gist.githubusercontent.com
185.199.110.133 gist.githubusercontent.com
185.199.108.133 gist.githubusercontent.com
185.199.111.133 gist.githubusercontent.com
185.199.111.133 avatars6.githubusercontent.com
185.199.109.133 avatars6.githubusercontent.com
185.199.110.133 avatars6.githubusercontent.com
185.199.108.133 avatars6.githubusercontent.com
185.199.110.133 avatars7.githubusercontent.com
185.199.109.133 avatars7.githubusercontent.com
185.199.108.133 avatars7.githubusercontent.com
185.199.111.133 avatars7.githubusercontent.com
185.199.108.133 avatars8.githubusercontent.com
185.199.109.133 avatars8.githubusercontent.com
185.199.111.133 avatars8.githubusercontent.com
185.199.110.133 avatars8.githubusercontent.com
185.199.111.153 customer-stories-feed.github.com
185.199.110.153 customer-stories-feed.github.com
185.199.108.153 customer-stories-feed.github.com
185.199.109.153 customer-stories-feed.github.com
2606:50c0:8003::153 customer-stories-feed.github.com
2606:50c0:8000::153 customer-stories-feed.github.com
2606:50c0:8001::153 customer-stories-feed.github.com
2606:50c0:8002::153 customer-stories-feed.github.com
185.199.111.133 repository-images.githubusercontent.com
185.199.109.133 repository-images.githubusercontent.com
185.199.108.133 repository-images.githubusercontent.com
185.199.110.133 repository-images.githubusercontent.com
185.199.110.133 marketplace-screenshots.githubusercontent.com
185.199.109.133 marketplace-screenshots.githubusercontent.com
185.199.108.133 marketplace-screenshots.githubusercontent.com
185.199.111.133 marketplace-screenshots.githubusercontent.com
185.199.108.153 guides.github.com
185.199.110.153 guides.github.com
185.199.109.153 guides.github.com
185.199.111.153 guides.github.com
2606:50c0:8003::153 guides.github.com
2606:50c0:8000::153 guides.github.com
2606:50c0:8001::153 guides.github.com
2606:50c0:8002::153 guides.github.com
140.82.112.25 alive.github.com
140.82.112.25 live.github.com
185.199.111.154 github.githubassets.com
185.199.108.154 github.githubassets.com
185.199.109.154 github.githubassets.com
185.199.110.154 github.githubassets.com
140.82.112.21 central.github.com
185.199.108.133 desktop.githubusercontent.com
185.199.109.133 desktop.githubusercontent.com
185.199.111.133 desktop.githubusercontent.com
185.199.110.133 desktop.githubusercontent.com
185.199.109.153 assets-cdn.github.com
185.199.110.153 assets-cdn.github.com
185.199.111.153 assets-cdn.github.com
185.199.108.153 assets-cdn.github.com
2606:50c0:8001::153 assets-cdn.github.com
2606:50c0:8003::153 assets-cdn.github.com
2606:50c0:8000::153 assets-cdn.github.com
2606:50c0:8002::153 assets-cdn.github.com
185.199.109.133 camo.githubusercontent.com
185.199.111.133 camo.githubusercontent.com
185.199.108.133 camo.githubusercontent.com
185.199.110.133 camo.githubusercontent.com
185.199.109.133 github.map.fastly.net
185.199.110.133 github.map.fastly.net
185.199.111.133 github.map.fastly.net
185.199.108.133 github.map.fastly.net
199.232.45.194 github.global.ssl.fastly.net
52.192.72.89 gist.github.com
185.199.108.153 github.io
185.199.110.153 github.io
185.199.111.153 github.io
185.199.109.153 github.io
52.192.72.89 github.com
52.192.72.89 www.github.com
52.69.239.207 api.github.com
185.199.111.133 raw.githubusercontent.com
185.199.108.133 raw.githubusercontent.com
185.199.110.133 raw.githubusercontent.com
185.199.109.133 raw.githubusercontent.com
2606:50c0:8002::154 raw.githubusercontent.com
2606:50c0:8000::154 raw.githubusercontent.com
2606:50c0:8001::154 raw.githubusercontent.com
2606:50c0:8003::154 raw.githubusercontent.com
185.199.110.133 user-images.githubusercontent.com
185.199.109.133 user-images.githubusercontent.com
185.199.111.133 user-images.githubusercontent.com
185.199.108.133 user-images.githubusercontent.com
2606:50c0:8003::154 user-images.githubusercontent.com
2606:50c0:8000::154 user-images.githubusercontent.com
2606:50c0:8001::154 user-images.githubusercontent.com
2606:50c0:8002::154 user-images.githubusercontent.com
185.199.108.133 favicons.githubusercontent.com
185.199.109.133 favicons.githubusercontent.com
185.199.110.133 favicons.githubusercontent.com
185.199.111.133 favicons.githubusercontent.com
185.199.109.133 avatars5.githubusercontent.com
185.199.111.133 avatars5.githubusercontent.com
185.199.110.133 avatars5.githubusercontent.com
185.199.108.133 avatars5.githubusercontent.com
185.199.109.133 avatars4.githubusercontent.com
185.199.111.133 avatars4.githubusercontent.com
185.199.108.133 avatars4.githubusercontent.com
185.199.110.133 avatars4.githubusercontent.com
185.199.111.133 avatars3.githubusercontent.com
185.199.110.133 avatars3.githubusercontent.com
185.199.109.133 avatars3.githubusercontent.com
185.199.108.133 avatars3.githubusercontent.com
185.199.109.133 avatars2.githubusercontent.com
185.199.110.133 avatars2.githubusercontent.com
185.199.111.133 avatars2.githubusercontent.com
185.199.108.133 avatars2.githubusercontent.com
185.199.109.133 avatars1.githubusercontent.com
185.199.111.133 avatars1.githubusercontent.com
185.199.108.133 avatars1.githubusercontent.com
185.199.110.133 avatars1.githubusercontent.com
185.199.109.133 avatars0.githubusercontent.com
185.199.108.133 avatars0.githubusercontent.com
185.199.111.133 avatars0.githubusercontent.com
185.199.110.133 avatars0.githubusercontent.com
185.199.108.133 avatars.githubusercontent.com
185.199.109.133 avatars.githubusercontent.com
185.199.111.133 avatars.githubusercontent.com
185.199.110.133 avatars.githubusercontent.com
2606:50c0:8002::154 avatars.githubusercontent.com
2606:50c0:8001::154 avatars.githubusercontent.com
2606:50c0:8000::154 avatars.githubusercontent.com
2606:50c0:8003::154 avatars.githubusercontent.com
52.68.31.213 codeload.github.com
52.217.165.241 github-cloud.s3.amazonaws.com
52.217.165.241 github-com.s3.amazonaws.com
52.217.165.241 github-production-release-asset-2e65be.s3.amazonaws.com
54.231.141.1 github-production-user-asset-6210df.s3.amazonaws.com
54.231.141.1 github-production-repository-file-5c1aeb.s3.amazonaws.com
185.199.109.153 githubstatus.com
185.199.110.153 githubstatus.com
185.199.111.153 githubstatus.com
185.199.108.153 githubstatus.com
64.71.144.211 github.community
2602:fd3f:3:ff01::d3 github.community
185.199.109.133 media.githubusercontent.com
185.199.111.133 media.githubusercontent.com
185.199.110.133 media.githubusercontent.com
185.199.108.133 media.githubusercontent.com
2606:50c0:8001::154 media.githubusercontent.com
2606:50c0:8002::154 media.githubusercontent.com
2606:50c0:8000::154 media.githubusercontent.com
2606:50c0:8003::154 media.githubusercontent.com
140.82.112.22 git.io
185.199.108.154 opengraph.githubassets.com
185.199.110.154 opengraph.githubassets.com
185.199.111.154 opengraph.githubassets.com
185.199.109.154 opengraph.githubassets.com

# Ending...
